Buyer,Seller,Transaction_Amount,Date,Time,Security,Price
Ivy,Sneha,15477.67,15-08-2025,12:53:58,NFLX,231.01
Frank,Charlie,287207.58,10-09-2025,21:49:11,ICICIBANK,1270.83
Jaya,Harish,288234.54,14-07-2025,21:55:32,SBIN,967.23
Bhavna,Jaya,547859.96,25-10-2025,06:04:39,GOOGL,2413.48
Grace,Varun,341179.2,22-11-2025,15:43:58,META,735.3
Farhan,Rohit,124975.62,10-08-2025,07:46:10,META,270.51
Eve,Varun,343159.76,15-06-2025,16:09:42,HDFC,2257.63
Farhan,Ivy,369009.69,08-11-2025,21:47:55,SBIN,1121.61
Alice,Frank,363874.12,20-08-2025,06:12:36,INFY,1259.08
Neha,Eve,159984.99,26-11-2025,00:54:32,INFY,1927.53
Eve,David,411930.09,25-06-2025,02:48:30,HDFC,973.83
Kiran,Neha,197469.09,26-07-2025,16:07:00,META,466.83
Jaya,Grace,414467.82,28-08-2025,13:28:25,TCS,902.98
Jaya,Chetan,658057.5,13-08-2025,23:35:41,META,2632.23
David,Frank,171399.93,28-10-2025,03:11:20,INFY,425.31
Charlie,Grace,119971.04,18-09-2025,20:54:24,AMZN,1008.16
Divya,Bob,212191.05,09-11-2025,22:17:30,TSLA,744.53
Hannah,Bhavna,127969.24,23-06-2025,13:26:59,AMZN,1390.97
Arjun,Lakshmi,560786.5,10-10-2025,01:06:56,RELIANCE,2024.5
Eve,Rohit,186211.06,10-06-2025,23:58:06,INFY,386.33
Varun,Ivy,783433.2,19-10-2025,17:07:47,META,2967.55
Harish,Jaya,741476.7,09-12-2025,21:57:22,HDFC,2746.21
Varun,Gauri,209265.22,06-12-2025,17:45:10,TSLA,1062.26
Rohit,Divya,49853.65,29-08-2025,01:02:00,GOOGL,129.49
Bhavna,Lakshmi,82162.08,19-08-2025,22:16:25,MSFT,191.52
Sneha,Hannah,549311.04,05-09-2025,10:55:20,ADANIENT,1183.86
Frank,Hannah,1338379.04,01-07-2025,12:33:36,META,2742.58
David,Manoj,366231.92,27-10-2025,17:59:17,AMZN,1237.27
Alice,Gauri,183866.22,20-08-2025,05:40:37,GOOGL,400.58
Neha,Divya,239844.24,23-08-2025,18:35:19,GOOGL,2961.04
Eve,Bob,281463.65,25-06-2025,02:25:07,NVDA,840.19
Grace,Jaya,140940,18-09-2025,14:26:17,MSFT,1761.75
Jaya,Ivy,52129.2,12-09-2025,08:10:21,HDFC,2172.05
Neha,Jack,357545.16,07-06-2025,10:45:34,ADANIENT,2432.28
Neha,Chetan,6310.4,31-08-2025,17:05:58,TSLA,788.8
Bob,Jaya,140770.2,27-07-2025,22:04:51,NVDA,951.15
Bob,Bhavna,134368.3,23-11-2025,19:19:50,AMZN,1429.45
Grace,Bob,24624.18,21-11-2025,06:34:36,ICICIBANK,195.43
Charlie,Chetan,72127.7,26-10-2025,12:25:55,RELIANCE,465.34
Gauri,Hannah,892512.76,09-12-2025,20:23:12,AMZN,2209.19
Harish,Frank,812774.18,18-12-2025,06:28:52,RELIANCE,1930.58
Varun,Divya,268599.47,13-09-2025,03:37:50,INFY,955.87
Charlie,Jack,287767.2,11-10-2025,18:55:27,NFLX,2398.06
Neha,Frank,289956.8,28-09-2025,10:20:21,NFLX,1035.56
Hannah,Charlie,80220.8,15-06-2025,04:42:36,NVDA,501.38
Grace,Charlie,541161.5,17-07-2025,16:14:45,INFY,1967.86
Kiran,Hannah,127637.44,30-11-2025,19:07:41,META,419.86
Ivy,Charlie,322198.8,07-11-2025,02:10:35,AAPL,2440.9
Grace,Chetan,117043.3,23-12-2025,06:47:22,GOOGL,688.49
Charlie,Kiran,624317.28,03-06-2025,10:48:36,ADANIENT,2812.24
Rohit,Bhavna,76021.12,04-10-2025,13:39:29,HDFC,1357.52
David,Chetan,505715.3,04-10-2025,02:57:31,ICICIBANK,1075.99
Jack,Chetan,4139.34,27-12-2025,16:29:42,ADANIENT,108.93
Eve,Alice,523910.76,20-11-2025,23:52:41,TCS,1812.84
Hannah,Manoj,66546.69,05-08-2025,15:33:58,MSFT,169.33
Gauri,Manoj,38848.38,09-09-2025,22:27:29,NVDA,844.53
Sneha,David,173249.6,06-12-2025,13:13:13,AMZN,1082.81
Jack,Bhavna,721367.25,27-11-2025,09:00:17,NFLX,2380.75
Divya,Arjun,2414.62,16-07-2025,04:49:53,NVDA,2414.62
Manoj,Farhan,922834.64,17-09-2025,22:32:37,TSLA,2690.48
Chetan,Hannah,395700.9,13-06-2025,16:52:42,NVDA,1081.15
Rohit,Hannah,398076,26-06-2025,10:48:32,META,995.19
Farhan,Jack,192478.68,08-08-2025,11:29:59,ADANIENT,1188.14
Eve,Bob,1142648.1,08-07-2025,22:08:52,NVDA,2308.38
Grace,Jaya,5205.72,27-12-2025,15:21:30,TSLA,400.44
David,Neha,665374.5,11-09-2025,15:28:13,GOOGL,2464.35
Bob,Hannah,288164.52,16-07-2025,15:36:46,SBIN,762.34
Charlie,Harish,211720.85,05-12-2025,11:09:46,MSFT,606.65
Ivy,Sneha,692165.28,26-06-2025,18:26:33,HDFC,2110.26
Harish,Rohit,101242.9,03-07-2025,21:35:28,ADANIENT,296.9
Charlie,Eve,108510.79,07-06-2025,01:31:15,AAPL,627.23
Rohit,Jack,582691.27,15-07-2025,13:23:44,AMZN,2761.57
Arjun,Jack,394197.21,07-07-2025,14:15:12,TCS,1284.03
Chetan,Bhavna,846923,03-11-2025,14:01:05,ICICIBANK,2749.75
Sneha,Jack,11779.88,05-07-2025,19:02:14,NVDA,420.71
Divya,Grace,536058.55,17-09-2025,19:10:31,INFY,2403.85
Jaya,Grace,33704.04,30-07-2025,23:57:18,AAPL,910.92
Varun,Rohit,268140.84,15-08-2025,00:16:36,GOOGL,738.68
Alice,Jaya,52705.95,05-12-2025,05:59:49,AAPL,206.69
Hannah,Eve,1008952.2,15-11-2025,00:02:23,INFY,2491.24
Grace,Sneha,455769.6,22-12-2025,06:15:26,AMZN,2921.6
Gauri,Arjun,410106.24,04-07-2025,05:23:20,AMZN,2531.52
Chetan,Charlie,283448.78,08-08-2025,03:14:31,HDFC,1941.43
Bob,Charlie,388473.25,21-06-2025,01:28:35,NVDA,1412.63
Hannah,Harish,97565.82,27-07-2025,01:44:05,TCS,1478.27
Divya,Hannah,821629.4,08-12-2025,08:15:06,NVDA,2220.62
Jaya,Sneha,39103.2,28-07-2025,16:00:18,TCS,488.79
Gauri,Kiran,528973.38,10-06-2025,01:44:52,ADANIENT,1565.01
Arjun,Sneha,615150.36,03-09-2025,07:18:36,MSFT,1803.96
Charlie,Bhavna,72259.2,17-10-2025,22:38:02,NVDA,1204.32
Bob,Farhan,319095,14-08-2025,13:27:57,META,2279.25
Jaya,Manoj,763746.15,11-09-2025,10:02:02,INFY,2588.97
Varun,Divya,347770.23,12-06-2025,14:39:31,RELIANCE,744.69
Rohit,Charlie,732640.02,10-12-2025,15:41:48,ICICIBANK,2161.18
Frank,Charlie,70105.91,09-12-2025,22:12:04,TCS,1630.37
Hannah,Frank,55417.11,11-07-2025,20:32:38,SBIN,184.11
Manoj,Gauri,353278.52,11-09-2025,18:30:41,ADANIENT,2235.94
Frank,Gauri,1191061.08,04-12-2025,03:43:42,META,2682.57
Bob,Hannah,7534.72,05-07-2025,02:17:24,AAPL,235.46
Alice,Charlie,126985.32,07-10-2025,19:08:48,ICICIBANK,335.94
Hannah,Eve,448168.05,29-12-2025,10:48:44,INFY,2716.17
Sneha,Divya,536132,19-09-2025,14:40:35,META,1340.33
Ivy,Jack,498762.5,22-09-2025,23:45:08,MSFT,1995.05
Harish,David,1111298.96,20-07-2025,16:34:43,SBIN,2750.74
Neha,Grace,43989.47,21-08-2025,15:15:12,NVDA,263.41
Grace,Bhavna,151810.88,10-09-2025,22:12:32,HDFC,1459.72
Varun,Sneha,350434.84,07-09-2025,01:39:20,RELIANCE,863.14
Kiran,Frank,195037.05,13-10-2025,11:54:30,RELIANCE,1000.19
Divya,Arjun,83060.34,20-12-2025,04:27:43,META,262.02
Rohit,Varun,83250.18,08-09-2025,12:04:19,TCS,470.34
Harish,Gauri,205671.58,04-12-2025,12:24:29,AMZN,2391.53
Hannah,Ivy,1157443.96,22-06-2025,08:52:21,TCS,2809.33
Divya,Bhavna,659068.25,05-09-2025,23:29:45,AMZN,2487.05
Manoj,Bhavna,182108.3,31-12-2025,15:22:08,META,1655.53
Ivy,Jaya,336036.12,10-09-2025,08:59:57,TSLA,2285.96
Hannah,Kiran,28766.3,04-12-2025,00:16:57,TCS,2876.63
Bhavna,Ivy,523328.05,20-09-2025,05:27:28,ICICIBANK,1508.15
Lakshmi,Jaya,387994.25,21-09-2025,14:24:31,HDFC,816.83
Ivy,Harish,74450.46,26-11-2025,09:44:03,ADANIENT,361.41
Chetan,Ivy,240616.8,22-11-2025,04:10:16,GOOGL,1743.6
Eve,Neha,592295.76,19-09-2025,05:15:16,META,1967.76
Grace,Manoj,689621.75,30-10-2025,08:14:49,AMZN,2959.75
Ivy,Alice,304358.4,22-07-2025,12:28:10,NVDA,792.6
Farhan,Bhavna,84976,18-07-2025,02:57:12,MSFT,904
Divya,Eve,104409.75,11-07-2025,06:53:35,MSFT,2047.25
Jaya,Charlie,636726.32,10-09-2025,08:00:31,HDFC,2744.51
Alice,Frank,806572.17,20-08-2025,10:20:43,NFLX,1906.79
Rohit,Grace,319634.25,20-08-2025,14:07:06,META,1639.15
Harish,Jaya,174391.7,12-12-2025,00:55:26,NFLX,2491.31
Rohit,Jack,506311,02-08-2025,00:36:14,META,1343
Frank,Gauri,624338.5,14-10-2025,10:16:53,AMZN,2903.9
Jaya,Gauri,722964.48,21-06-2025,03:51:58,SBIN,2938.88
Frank,Divya,393363.84,20-06-2025,17:58:50,ADANIENT,1293.96
Divya,Varun,424956.36,17-06-2025,00:04:36,GOOGL,1940.44
Bhavna,Charlie,1052400.86,04-09-2025,14:55:50,MSFT,2836.66
Jaya,Bob,200328.48,27-07-2025,20:29:30,NFLX,1391.17
Grace,Bob,546091,17-07-2025,20:59:12,AAPL,1147.25
Jack,Gauri,472576.32,08-11-2025,06:52:07,ADANIENT,1640.89
Arjun,Rohit,599068.08,01-08-2025,14:05:56,INFY,2582.19
Kiran,Jaya,294939.45,01-08-2025,08:37:55,TSLA,2520.85
Varun,Grace,733004.02,20-07-2025,23:25:16,ADANIENT,1572.97
Charlie,Eve,110510.4,06-06-2025,18:22:11,SBIN,265.65
Kiran,Divya,516695,13-06-2025,13:02:08,ICICIBANK,1123.25
Arjun,Jaya,259880,06-11-2025,11:08:24,SBIN,1299.4
Neha,Jaya,184785.28,29-06-2025,02:10:37,NVDA,1032.32
Neha,Manoj,115049.22,29-06-2025,19:12:33,ADANIENT,723.58
Alice,Farhan,368174.08,02-10-2025,09:19:46,INFY,2876.36
David,Divya,134380.24,06-09-2025,17:12:46,NFLX,988.09
Neha,Lakshmi,547375.9,05-08-2025,07:22:58,HDFC,1499.66
Alice,David,434835.8,13-12-2025,16:31:25,ICICIBANK,2218.55
Jaya,Bhavna,262116.69,15-12-2025,02:49:38,SBIN,2131.03
Lakshmi,Jack,19205.55,26-06-2025,20:03:57,NFLX,1477.35
Lakshmi,David,358503.76,04-06-2025,04:14:38,INFY,1948.39
Frank,Bob,876736.25,16-08-2025,10:35:51,NVDA,2648.75
Ivy,Varun,3256.48,24-10-2025,15:38:58,NVDA,814.12
Charlie,Bob,260309.72,19-11-2025,17:14:53,AAPL,2151.32
Charlie,Varun,84454.92,09-11-2025,04:51:41,META,2345.97
Rohit,Bhavna,498852.42,29-11-2025,20:01:17,RELIANCE,2883.54
Frank,Chetan,943826.56,11-12-2025,06:36:29,HDFC,2877.52
Neha,Gauri,147505.92,28-11-2025,07:52:10,INFY,2304.78
Farhan,Manoj,67789.67,13-07-2025,12:52:29,NFLX,344.11
Hannah,Bhavna,467425.6,18-06-2025,01:00:54,AMZN,2921.41
Divya,Alice,293610.57,14-09-2025,05:02:12,META,1570.11
Bob,Grace,249757.86,16-08-2025,10:58:41,INFY,1435.39
Jack,Gauri,434732.16,18-06-2025,18:23:21,ADANIENT,1430.04
Sneha,Manoj,712491.29,26-06-2025,10:06:05,INFY,2276.33
Jack,Bob,192415.01,29-10-2025,11:37:00,ADANIENT,492.11
Alice,Hannah,556095.54,20-07-2025,16:56:55,AAPL,2407.34
Jack,David,607998.86,26-09-2025,08:46:53,SBIN,2285.71
Divya,Frank,62189.1,20-09-2025,11:39:29,RELIANCE,230.33
David,Farhan,123644.64,26-06-2025,06:10:00,NVDA,2943.92
Arjun,Manoj,636611.71,01-08-2025,10:33:00,NFLX,1934.99
Jack,Bhavna,390302.02,11-08-2025,06:50:38,NFLX,1894.67
Jack,Varun,233910.18,09-12-2025,21:00:18,ICICIBANK,1856.43
Varun,Frank,658987.78,10-11-2025,15:39:36,INFY,2723.09
David,Farhan,28167.04,18-06-2025,04:42:25,META,440.11
Kiran,Manoj,614214.54,15-09-2025,06:50:22,AMZN,1483.61
Rohit,Eve,494332.08,05-09-2025,12:58:41,TSLA,1004.74
Jack,Manoj,84222.64,20-08-2025,20:12:45,AAPL,377.68
Grace,Lakshmi,834955.38,21-09-2025,14:18:25,RELIANCE,2092.62
Harish,David,332201.25,10-11-2025,19:29:10,TCS,885.87
Gauri,Manoj,181433.77,30-06-2025,16:29:02,META,602.77
Divya,Bob,409477.36,09-10-2025,19:51:11,ICICIBANK,2693.93
Manoj,Eve,2546.84,30-09-2025,05:58:19,GOOGL,2546.84
Chetan,Frank,760020.52,11-12-2025,11:46:08,GOOGL,2602.81
Arjun,Charlie,149719.76,05-06-2025,18:05:05,NFLX,2023.24
Neha,Manoj,35909.5,23-08-2025,16:15:06,SBIN,1632.25
Lakshmi,Bhavna,63736.96,24-10-2025,06:32:58,TCS,183.68
Harish,Neha,375012.88,18-11-2025,18:36:52,META,897.16
Chetan,Varun,225627.36,06-10-2025,16:08:37,AMZN,1064.28
Grace,Alice,103414.14,26-12-2025,09:43:39,TSLA,1667.97
Manoj,Farhan,930333.69,09-10-2025,10:04:28,AMZN,2168.61
Bob,Frank,579295.4,13-12-2025,04:57:24,NVDA,1729.24
Hannah,Rohit,26982.42,18-07-2025,14:27:23,HDFC,212.46
Neha,Ivy,38927.28,09-07-2025,00:29:09,MSFT,926.84
Lakshmi,Eve,53095.4,03-07-2025,22:20:02,ADANIENT,250.45
Neha,Bob,473661,24-07-2025,07:10:41,SBIN,2234.25
Jack,Gauri,395821.56,17-10-2025,18:14:05,SBIN,891.49
Gauri,Lakshmi,79449.6,21-10-2025,21:26:15,HDFC,165.52
Kiran,David,188016.87,02-09-2025,02:29:13,AAPL,468.87
David,Bob,680140.96,30-07-2025,00:24:40,GOOGL,1475.36
David,Chetan,301548.5,30-06-2025,07:58:34,TCS,1383.25
Sneha,Harish,176507.31,07-10-2025,08:23:37,META,1056.93
Charlie,Arjun,909922.75,10-07-2025,23:12:16,AAPL,2224.75
Bob,Manoj,4616,25-10-2025,04:35:59,AAPL,230.8
Arjun,Bhavna,33576.2,06-12-2025,21:56:25,TCS,1678.81
Jack,Charlie,392694.4,19-07-2025,17:16:57,GOOGL,1402.48
Bob,Rohit,413799.68,19-08-2025,11:34:11,NFLX,1847.32
Charlie,Bhavna,585075.7,11-10-2025,02:56:52,RELIANCE,2427.7
Bhavna,Farhan,1071416.68,23-06-2025,10:28:37,NFLX,2503.31
Gauri,Rohit,40237.56,03-07-2025,08:00:33,ICICIBANK,372.57
Bhavna,Arjun,129337.22,19-08-2025,18:21:17,SBIN,1186.58
Sneha,Neha,1327525.92,22-10-2025,01:59:57,SBIN,2720.34
Bob,Eve,17032.4,03-07-2025,13:58:47,ADANIENT,387.1
Hannah,Charlie,911810.25,13-12-2025,20:16:08,INFY,2597.75
Harish,Grace,197782.66,18-12-2025,20:39:49,AAPL,1475.99
Bob,Chetan,137215.92,20-09-2025,18:34:55,NVDA,1106.58
Varun,Hannah,402862.6,14-06-2025,10:36:21,NFLX,1692.7
Gauri,Rohit,197816.8,29-08-2025,12:37:05,NVDA,2472.71
Grace,Rohit,276932.13,06-06-2025,05:08:15,META,1168.49
Bob,Eve,668658.62,27-09-2025,08:56:40,MSFT,2809.49
Arjun,Rohit,189959.22,16-08-2025,13:54:52,META,2878.17
Manoj,Farhan,265111.25,25-08-2025,07:30:52,NVDA,2120.89
Grace,Chetan,259745.8,02-10-2025,03:58:24,AMZN,1208.12
Eve,Arjun,66315,14-06-2025,03:39:57,ICICIBANK,132.63
Ivy,Farhan,103860.9,19-09-2025,16:22:47,AMZN,314.73
Hannah,Neha,86871.8,29-07-2025,18:47:12,NFLX,228.61
Ivy,Divya,896904.67,20-12-2025,11:21:20,AMZN,2236.67
Charlie,Jack,526716.27,02-12-2025,01:10:10,SBIN,1068.39
Farhan,Grace,422733.87,07-07-2025,21:33:25,RELIANCE,1121.31
Varun,Hannah,905658,23-06-2025,18:46:36,SBIN,2322.2
Jaya,David,245969.34,18-12-2025,19:28:58,RELIANCE,2215.94
Rohit,Jaya,303155.82,17-09-2025,04:27:19,TCS,2505.42
Gauri,Sneha,119252.24,13-11-2025,01:14:09,AMZN,2592.44
Bob,Farhan,98939.91,11-09-2025,09:37:39,RELIANCE,1063.87
Varun,Neha,6545.12,22-09-2025,22:39:13,RELIANCE,1636.28
Hannah,Rohit,249064,21-11-2025,21:47:30,SBIN,764
Neha,Chetan,249419.81,30-11-2025,00:39:11,GOOGL,1378.01
Sneha,Bob,43560.54,01-11-2025,16:59:36,META,154.47
Frank,Neha,36234,25-12-2025,08:07:52,HDFC,2415.6
Sneha,Jack,336977.55,22-09-2025,10:49:29,MSFT,1234.35
Bhavna,Bob,12807.85,27-09-2025,08:26:32,TSLA,232.87
Jack,Lakshmi,454822.76,03-07-2025,14:35:51,TCS,955.51
Varun,Ivy,420313.14,05-06-2025,09:36:32,TSLA,1243.53
David,Charlie,300453.3,24-08-2025,21:02:26,NVDA,2225.58
Divya,Lakshmi,434452.06,07-07-2025,00:50:45,ICICIBANK,1349.23
Hannah,Sneha,44227.56,20-12-2025,06:34:42,ADANIENT,567.02
Bhavna,Kiran,733455.8,17-07-2025,03:54:37,INFY,1493.8
Arjun,Bob,146685.24,31-08-2025,05:53:06,HDFC,867.96
Jaya,Varun,875040.54,03-11-2025,13:31:18,TSLA,1849.98
Manoj,Alice,333484.98,16-10-2025,13:59:56,TCS,2711.26
Divya,Neha,86282.52,22-07-2025,09:50:34,NVDA,388.66
Eve,Alice,778936.66,27-12-2025,20:27:37,INFY,2480.69
Gauri,Hannah,1207386.48,17-10-2025,22:26:58,HDFC,2937.68
Sneha,Divya,24952.76,14-11-2025,03:10:12,META,127.31
Gauri,Lakshmi,284553,27-12-2025,19:13:16,AMZN,2845.53
Harish,Divya,475583.6,16-08-2025,05:05:44,NFLX,2319.92
Arjun,David,548866.71,18-06-2025,15:41:04,SBIN,2651.53
Frank,David,187449.39,14-06-2025,18:37:21,ICICIBANK,2314.19
Harish,Bob,291378.75,12-12-2025,00:52:06,ICICIBANK,896.55
Kiran,Jack,140097.3,25-07-2025,04:34:02,NFLX,2001.39
Varun,Farhan,217663.75,08-07-2025,20:55:50,TSLA,2560.75
Jaya,Alice,260190.9,23-10-2025,04:12:09,TCS,996.9
Grace,Divya,192468.48,12-10-2025,20:53:44,AMZN,501.22
Neha,Grace,90890.65,13-08-2025,11:47:23,ADANIENT,1280.15
Hannah,Rohit,806209.74,16-07-2025,14:41:47,ADANIENT,2132.83
Hannah,Rohit,88111.17,03-10-2025,22:19:43,RELIANCE,272.79
Lakshmi,Jaya,311654.15,08-12-2025,01:51:52,MSFT,1241.65
Bob,Lakshmi,133652.5,14-09-2025,19:06:03,GOOGL,346.25
Farhan,Harish,141463.8,06-07-2025,12:48:06,SBIN,527.85
Neha,Bhavna,524381.22,16-08-2025,18:22:29,AAPL,2648.39
Rohit,Hannah,61154.73,29-10-2025,12:52:27,META,174.23
Eve,Alice,854935.4,09-06-2025,09:33:34,RELIANCE,1891.45
Jack,Farhan,76229.31,11-11-2025,12:24:15,ADANIENT,819.67
Bob,Divya,1079889.42,26-09-2025,01:20:57,NVDA,2713.29
Manoj,Charlie,383045.13,29-12-2025,12:02:09,TCS,1550.79
Gauri,Varun,30169.22,08-08-2025,17:55:21,NVDA,338.98
Frank,Farhan,31000.62,11-11-2025,23:33:29,ICICIBANK,166.67
Farhan,Sneha,46908,03-12-2025,05:46:58,AMZN,651.5
David,Alice,548422.85,16-12-2025,22:47:15,NFLX,1200.05
Neha,Frank,228759.14,07-11-2025,05:25:02,RELIANCE,2659.99
Frank,Divya,189753.93,09-09-2025,13:27:21,SBIN,500.67
Eve,Rohit,1252268.16,11-06-2025,02:57:21,ICICIBANK,2919.04
Jaya,Bhavna,1008048.12,11-12-2025,20:11:29,TCS,2896.69
Jack,Hannah,851661.44,18-10-2025,13:47:19,NFLX,2829.44
Chetan,Charlie,46192.8,28-08-2025,07:48:58,NFLX,2887.05
Bhavna,Kiran,158276.52,25-07-2025,10:57:14,RELIANCE,1138.68
Ivy,Rohit,42449.12,21-08-2025,06:02:25,NVDA,2653.07
Gauri,Arjun,798165.54,07-12-2025,20:57:29,TCS,2583.06
Jaya,Hannah,1057669.36,27-06-2025,20:16:45,NVDA,2684.44
Lakshmi,Grace,234788.71,03-09-2025,06:25:20,ADANIENT,1848.73
Chetan,Jaya,409692.9,02-09-2025,02:45:41,ICICIBANK,2202.65
Rohit,Ivy,225328.22,07-12-2025,18:07:11,SBIN,456.13
Charlie,Grace,567026.88,31-07-2025,21:14:11,META,1243.48
David,Jaya,274290,08-07-2025,04:15:01,SBIN,548.58
Ivy,Kiran,156470.76,11-11-2025,18:41:26,HDFC,424.04
Harish,Bhavna,635083.28,17-06-2025,17:27:01,HDFC,2197.52
Ivy,Bhavna,136397.36,08-06-2025,13:28:16,AAPL,2965.16
Divya,Arjun,256963.08,30-09-2025,04:49:41,GOOGL,1212.09
Gauri,Rohit,451659.53,08-12-2025,01:35:19,TSLA,1500.53
Varun,Manoj,228352.53,08-07-2025,16:59:30,RELIANCE,881.67
Chetan,David,220455,24-06-2025,05:07:52,SBIN,1224.75
Bhavna,Lakshmi,140318.49,02-12-2025,06:38:17,INFY,368.29
Jack,Arjun,42691.82,05-12-2025,17:51:48,ICICIBANK,120.94
Arjun,Varun,197880.48,01-07-2025,00:18:14,NVDA,738.36
Bhavna,Ivy,690412.16,30-08-2025,17:32:40,ICICIBANK,2783.92
Lakshmi,Eve,990100.35,14-12-2025,16:43:36,NVDA,2920.65
Rohit,Bhavna,698850.88,28-09-2025,05:12:21,AAPL,2999.36
Lakshmi,Rohit,50391.8,12-09-2025,23:54:24,INFY,1326.1
Divya,Grace,72849.05,24-10-2025,11:17:17,NFLX,633.47
Gauri,Sneha,323814.97,14-06-2025,16:58:11,META,2471.87
Harish,Arjun,776260.08,05-06-2025,17:12:26,ICICIBANK,2005.84
Alice,Varun,165133.75,02-06-2025,12:42:39,INFY,511.25
Hannah,Varun,226756.72,18-07-2025,04:07:28,INFY,1532.14
Grace,Eve,162979.37,09-08-2025,23:00:44,INFY,2063.03
Lakshmi,Bhavna,131591.34,19-06-2025,23:21:50,NVDA,603.63
Bob,Arjun,486849.17,11-12-2025,02:13:08,TCS,2144.71
Chetan,Bob,536939.39,16-08-2025,11:10:48,ICICIBANK,2429.59
Varun,Sneha,751542.48,18-11-2025,09:36:15,MSFT,1605.86
Bhavna,Ivy,277550.06,01-10-2025,11:15:09,META,575.83
Lakshmi,Alice,5757.44,04-09-2025,20:20:31,NFLX,110.72
Jack,Chetan,184328.64,24-10-2025,13:39:26,AMZN,397.26
Varun,Alice,81207.9,12-09-2025,11:12:28,INFY,854.82
Chetan,Harish,13457.34,26-08-2025,06:28:29,AMZN,498.42
Hannah,David,725302.83,15-12-2025,13:46:14,META,1601.11
Jack,Bhavna,234397.96,12-09-2025,22:06:42,ADANIENT,2150.44
Hannah,Rohit,636017.46,29-09-2025,22:16:01,META,1660.62
Bhavna,Grace,60976.21,18-08-2025,03:34:22,INFY,999.61
Harish,Kiran,154950.51,18-06-2025,16:17:10,MSFT,627.33
Kiran,Eve,1051336.37,10-10-2025,07:16:14,MSFT,2978.29
Jaya,Farhan,388863.44,20-07-2025,17:07:32,AMZN,2859.29
Neha,Manoj,37923.6,01-09-2025,20:58:10,SBIN,430.95
Chetan,David,1003743,02-12-2025,11:22:01,AAPL,2691
David,Arjun,66373.56,21-10-2025,00:37:22,NFLX,1005.66
Jaya,Chetan,251727.66,13-07-2025,18:51:59,RELIANCE,1181.82
Ivy,Grace,34755.52,23-10-2025,21:22:05,HDFC,2172.22
Varun,Ivy,180353.9,31-07-2025,10:21:37,META,1243.82
Eve,Kiran,593106,13-07-2025,06:46:59,NVDA,1205.5
Rohit,Ivy,966822.71,15-10-2025,04:42:15,AAPL,2088.17
Varun,Frank,122161.28,28-07-2025,11:41:56,META,632.96
Varun,Frank,144531.36,14-09-2025,14:25:01,SBIN,622.98
Chetan,Lakshmi,646751,13-09-2025,19:39:33,TCS,1930.6
Jaya,Kiran,20106.58,05-11-2025,03:35:58,NFLX,1182.74
Lakshmi,Divya,217824.24,30-09-2025,01:10:50,AMZN,844.28
Gauri,Sneha,16712.7,26-08-2025,10:01:55,AMZN,288.15
Rohit,Kiran,19686.17,08-06-2025,07:50:24,TSLA,1158.01
Manoj,Neha,114302.62,22-08-2025,15:20:05,INFY,688.57
Farhan,Lakshmi,447401.24,01-08-2025,21:46:07,MSFT,2024.44
Lakshmi,Gauri,1276176.94,14-07-2025,00:28:00,NFLX,2647.67
Jack,Charlie,393147.43,06-10-2025,16:10:56,SBIN,1591.69
Neha,Grace,281675.56,17-11-2025,11:58:28,TCS,843.34
Chetan,Rohit,412038.54,13-12-2025,08:36:52,ICICIBANK,1415.94
Jaya,Farhan,246034.88,29-10-2025,13:05:37,AAPL,516.88
Chetan,Hannah,123070.98,01-06-2025,05:10:20,ADANIENT,691.41
Gauri,Grace,140781.64,22-07-2025,09:07:16,ICICIBANK,991.42
Manoj,Kiran,46838.88,20-09-2025,03:30:59,MSFT,236.56
Neha,Varun,78369.66,24-12-2025,04:29:10,GOOGL,768.33
Harish,Neha,100541.06,19-09-2025,18:12:32,GOOGL,2957.09
Hannah,David,367799.76,06-10-2025,07:57:15,GOOGL,901.47
Alice,Harish,369524.02,13-10-2025,04:09:46,TSLA,792.97
Manoj,Jaya,135530.99,08-12-2025,03:58:32,NFLX,1019.03
Jaya,Rohit,200413.9,18-12-2025,21:30:46,TCS,594.7
Gauri,Jaya,492588.68,14-11-2025,03:32:32,META,2475.32
Rohit,Ivy,906660.08,10-08-2025,18:08:28,AAPL,2411.33
Harish,Grace,44189.06,21-12-2025,14:57:08,TCS,1162.87
Farhan,David,130553.28,26-10-2025,01:10:56,META,2967.12
Lakshmi,Bob,206887.5,19-06-2025,01:37:33,HDFC,919.5
David,Lakshmi,319968.9,24-07-2025,03:27:23,SBIN,697.1
Chetan,Manoj,196108.44,12-09-2025,14:54:59,TCS,1485.67
Frank,Neha,127920.88,14-11-2025,14:48:28,GOOGL,2063.24
Chetan,Bob,234882.09,12-08-2025,17:26:06,HDFC,603.81
David,Harish,16133.65,25-08-2025,10:47:35,AMZN,1241.05
David,Gauri,460535.76,15-11-2025,23:29:27,AMZN,1139.94
Hannah,Harish,704056.6,06-12-2025,17:40:01,GOOGL,2707.91
Neha,Arjun,102447.8,09-12-2025,12:57:45,MSFT,731.77
Farhan,Divya,414164.48,29-09-2025,22:08:58,MSFT,1617.83
Chetan,Neha,430972.14,20-11-2025,22:28:20,INFY,1072.07
Kiran,Alice,685961.32,02-06-2025,08:30:03,META,2944.04
Varun,Divya,502593.18,04-06-2025,00:51:36,SBIN,1504.77
